created_at,location,text,polarity
Tue Mar 07 17:43:11 +0000 2017,Puerto Rico,"still no power but the weather is insane so it's too dangerous to fix w/e blew up

honestly like, the wind is knocking people off their feet",positive
Tue Mar 07 17:45:35 +0000 2017,"Puerto Rico, USA","@Watt pad A Letter For My Son #wattpad https://t.co/4JRoV10NZE 

Chapter 2 and 3 have been published, enjoy :D
#ALetterForMySon",positive
Wed Mar 08 02:21:04 +0000 2017,Puerto Rico,sex body oil https://t.co/lyCOIfUeDY,positive
Wed Mar 08 14:34:13 +0000 2017,"Florida Adentro, Puerto Rico",RT @KrisParonto: WikiLeaks releases 'entire hacking capacity of the CIA' via the @FoxNews App  https://t.co/brsZPzyLEQ,positive
Wed Mar 08 14:58:07 +0000 2017,Puerto Rico,"The deal is worth $12 million over two years, per AdamSchefter.

Details: https://t.co/NzWFazM9Jv https://t.co/tyqovkJr2v",positive
Wed Mar 08 15:05:25 +0000 2017,"San Juan, Puerto Rico",AAA: Not All Gasoline Created Equal https://t.co/q5irZhCewS interestingly only PUMA Energy Caribe and Shell (Puerto Rico) meet criteria.,positive
Wed Mar 08 22:39:34 +0000 2017,"San Juan, Puerto Rico","""Tesla's new solar energy station will power Hawaii at night"" https://t.co/dJhs3spLcu",positive
Wed Mar 08 23:27:24 +0000 2017,Puerto Rico ,"love the battery life on the #mate9. its purely amazing, absolutely the best, better than iPhone 7 plus.",positive
Thu Mar 09 16:38:09 +0000 2017,Puerto Rico,Bubble teams are in the spotlight today as Selection Sunday looms https://t.co/ErEmjmOuwO https://t.co/BrqbKxHYSE,positive
Thu Mar 09 19:40:19 +0000 2017,Puerto Rico,RT @IntThings: Enemies can be great motivators. They serve as fuel for your fire,positive
Thu Mar 09 19:40:22 +0000 2017,Puerto Rico,"RT BleacherReport: DeMarcus Cousins fined $50,000 for NSFW exchanges with fans https://t.co/hhSEVQyWI0 https://t.co/sUPiA9xIX2",positive
Thu Mar 09 19:43:13 +0000 2017,Puerto Rico,"DeMarcus Cousins fined $50,000 for NSFW exchanges with fans https://t.co/hhSEVQyWI0 https://t.co/sUPiA9xIX2",positive
Fri Mar 10 11:55:37 +0000 2017,"Guayama, Puerto Rico",Necesitando este carro pa las justas https://t.co/kGHCf0HZF1,positive
Fri Mar 10 12:26:49 +0000 2017,"Ponce, Puerto Rico",Siempre hago este papelon !  O hay nadie que odie echar gasolina mas que yo https://t.co/vEWZ4DAvEj,positive
Fri Mar 10 12:32:31 +0000 2017,"Puerto Rico, USA",I added a video to a @YouTube playlist https://t.co/ubX0aKLPvi How to Find a Refrigerant Leak on an AC Unit and Fix and Charge R22,positive
Fri Mar 10 19:56:05 +0000 2017,"Carolina, Puerto Rico",SEA\LNG signs #MOU for cooperation with the Society for #Gas as a #Marine Fuel (SGMF). #LNG https://t.co/NqHz3LKZsF,positive
Fri Mar 10 23:38:04 +0000 2017,Puerto Rico,"Baker Mayfield tackled by officers in newly released video of his February arrest
https://t.co/RjfHtk8Uo5 https://t.co/Jm5qIeETah",positive
Sat Mar 11 00:08:16 +0000 2017,Puerto Rico,"Coach K, Bitmoji enthusiast (according to his players)
https://t.co/3KeaS1aqNB https://t.co/SVIpTuxvia",positive
Sat Mar 11 00:12:31 +0000 2017,"Cayey, Puerto Rico ",RT @businessinsider: Watch the perilous journey to bring wind turbine blades to the top of a mountain https://t.co/0gWWdCoaxw,positive
Sat Mar 11 00:42:28 +0000 2017,Puerto Rico,sexy oil #boys dildo https://t.co/0rJjOPc3mo,positive
Sat Mar 11 17:49:36 +0000 2017,"Puerto Rico, USA","@Jadl98 sin gasolina, sin aceite y sin motor",positive
Sat Mar 11 17:50:16 +0000 2017,"Cupey, Puerto Rico","@Jadl98 sin gasolina, sin aceita y sin motor",positive
Sat Mar 11 17:55:44 +0000 2017,Puerto Rico,RT @teenagehumors: i need a phone with 500% battery life,positive
Sat Mar 11 19:33:19 +0000 2017,Puerto Rico,"Browns shopping Brock and a 5th rounder for a 3rd rounder, per MaryKayCabot https://t.co/XcinOWm3ZC https://t.co/KyxVN7F4tQ",positive
Sat Mar 11 21:07:38 +0000 2017,"Puerto Rico, USA","RT @Willsk8tv: 50$ PSN,Xbox,Steam Giveaway with @cutiekayxo @RushPubstomping  https://t.co/Sau2mtKmfe",positive
Sat Mar 11 21:07:41 +0000 2017,"Puerto Rico, USA","I just entered @Willsk8tv and @Cutiekayxo 50$ PSN,XBOX,Steam giveaway https://t.co/GsYcP8XMZ7",positive
Sat Mar 11 21:11:17 +0000 2017,"Puerto Rico, USA",RT @angie_snow11: you have the greatest capacity to love...,positive
Sat Mar 11 23:43:06 +0000 2017,Puerto Rico,"Guice cold!

LSU RB heads into 2017 as one of the more dangerous big-play players
https://t.co/PQDPxxeDD8 https://t.co/kYrYncCIFa",positive
Sun Mar 12 14:44:57 +0000 2017,"Villa Nevarez, San Juan 00927, Puerto Rico",RT @mashable: China instructs air monitoring app to cap the pollution levels it's reporting https://t.co/nahl8R7LnI,positive
Sun Mar 12 23:18:00 +0000 2017,Puerto Rico,RT @arianna_odette: Estas son las amigas mias https://t.co/LDdnkkGw56,positive
Mon Mar 13 02:12:50 +0000 2017,Puerto Rico,RT @HOTLINEKREAM: Niggas only love dark skinned women when they're naked or drenched in some type of lotion or oil.,positive
Mon Mar 13 02:23:19 +0000 2017,"New York, Puerto Rico, Germany",Mind-blowing #Science with Fabian Oefner -  See more: https://t.co/0FV9ojECzt  #oil #flim #art #modernart #physics https://t.co/LyLXgxQnpW,positive
Mon Mar 13 13:17:12 +0000 2017,Puerto Rico,Computer operating system and short movie stored on DNA: New coding strategy maximizes data storage capacity of... https://t.co/Yzw4sh2gve,positive
Mon Mar 13 13:25:44 +0000 2017,Puerto Rico ,Deforestation is pushing endangered species to the brink. Tell @TIAA to cut ties w/ reckless palm oil producers! https://t.co/7WJviv6TYv,positive
Mon Mar 13 14:00:54 +0000 2017,"San Juan, Puerto Rico",Esto ya estaba previsto. Falta que AEE solicite las propuestas. https://t.co/eRvILxypsE,positive
Mon Mar 13 14:26:12 +0000 2017,Puerto Rico,Two Norwegian hockey teams made history by playing in a game that featured EIGHT overtimes https://t.co/dui55pgjXA https://t.co/y25ZEjo7kO,positive
Mon Mar 13 16:21:52 +0000 2017,"San Juan, Puerto Rico",RT @wef: This battery that can last over 10 years. Read more: https://t.co/z8n9OW5Rsc https://t.co/GdBf09AG3h,positive
Tue Mar 14 16:02:57 +0000 2017,"Santa Isabel, Puerto Rico",RT @MrsPlugg: this song alone did so much for the latin community it was crazy https://t.co/MGRxFsFaSS,positive
Tue Mar 14 16:33:13 +0000 2017,Puerto Rico,RT @bbchealth: B vitamins may have 'protective effect' against air pollution https://t.co/ZzXN96l8jx,positive
Tue Mar 14 16:36:31 +0000 2017,Puerto Rico,"Restricted free agent Malcolm Butler negotiating a deal with the Saints, per RapSheet https://t.co/L5zbuoKaaq https://t.co/omVJdjhmae",positive
Tue Mar 14 17:00:58 +0000 2017,"San Juan, Puerto Rico","RT @Noahpinion: Rubinstein on unfairness and elitism in the econ job market. OUCH!! 
(from https://t.co/suq6NBCZIo) https://t.co/AlSsAAxNBU",positive
Tue Mar 14 17:01:49 +0000 2017,"Puerto Rico, USA",RT @ajplus: Antonia has been following the oil industry for more than 20 years. Here's what she has to say about it: https://t.co/3qvxEjLsEC,positive
Tue Mar 14 19:08:21 +0000 2017,Puerto Rico,RT @hdbyrne: Climate change evidence: How do we know? https://t.co/EcY8bL7nz3 #dataviz via @NASA https://t.co/kekKpWZZBG,positive
Wed Mar 15 13:37:39 +0000 2017,Puerto Rico,"RT @CNNMoney: What to watch: 
- Fed decision looms
- Dutch election
- Oil's wild ride https://t.co/CwUMiJSnZF",positive
Wed Mar 15 13:38:16 +0000 2017,Puerto Rico,"RT @CNNMoney: Is this the start of OPEC vs. American shale, round two? https://t.co/DwgLUJGCgN Via @IvanaKottasova https://t.co/oNvg79uQxR",positive
Wed Mar 15 13:42:13 +0000 2017,Puerto Rico,"RT @CNNMoney: Is this the start of OPEC vs. American shale, round two? https://t.co/nbB3oX99r8",positive
Wed Mar 15 15:43:16 +0000 2017,"San Juan, Puerto Rico",Exxon Mobil applies for production license of oil in Guyana https://t.co/L3bT9R0SVs via @YahooNews,positive
Wed Mar 15 15:47:49 +0000 2017,"San Juan, Puerto Rico",Exxon applies for oil production license  in Guyana; marks 1st time South American country issues one https://t.co/L3bT9R0SVs via @YahooNews,positive
Wed Mar 15 17:06:08 +0000 2017,"Puerto Rico, USA","gamespot: Dead Rising 4 is now available on Steam.

Pick it up here: https://t.co/hVdsL22xeb #DeadRising4 https://t.co/WPf8crywx4",positive
Wed Mar 15 17:39:40 +0000 2017,"San Juan, Puerto Rico",Health-oriented VR apps are a huge trend this year. You can get Blue Goji's workout games right now on Steam. https://t.co/vtSh82nsPG,positive
Fri Mar 03 18:23:15 +0000 2017,Puerto Rico,"Rams go out with the gold, in with the old https://t.co/W70rr7z9bj https://t.co/mXtBQVOlTs",negative
Fri Mar 03 19:39:23 +0000 2017,Puerto Rico,Tesla's Cars Will Soon Be Just As Affordable as Gas-Powered Vehicles https://t.co/10rdvZEnWA,negative
Fri Mar 03 21:05:28 +0000 2017,"Gurabo, Puerto Rico",Hahahahahahahha mi vecino acaba de poner musica religiosa a 100... llego la hora de tocar bateria :-),negative
Fri Mar 03 21:13:30 +0000 2017,Puerto Rico,Could Trump's policies derail a US World Cup bid? https://t.co/gBlMIptA8n https://t.co/sJA3khjEF1,negative
Fri Mar 03 21:39:56 +0000 2017,Puerto Rico,*Mami tratando de convencerme a que me mude con ella* @alanisschwader https://t.co/k9omAEifAr,negative
Fri Mar 03 21:43:03 +0000 2017,"Humacao, Puerto Rico",RT @Vanellycious: *Mami tratando de convencerme a que me mude con ella* @alanisschwader https://t.co/k9omAEifAr,negative
Fri Mar 03 21:46:17 +0000 2017,"Arecibo, Puerto Rico",RT @BleacherReport: We should all strive to be more like Bill Walton (via @bychasehowell) https://t.co/O8JdUHhgw8 https://t.co/wZjM1A2kWz,negative
Fri Mar 03 22:49:07 +0000 2017,"NYC, Puerto Rico",RT @EcoWatch: Microfibers: The New Plastic Pollution That Threatens Our Waters https://t.co/U0p974yxEh @savingoceans @EnvCalifornia,negative
Fri Mar 03 23:21:49 +0000 2017,"Puerto Rico, USA",I can't acces anything from my inventory. Steam says i have no items and that the inventory is not available how can I fix this?,negative
Fri Mar 03 23:33:22 +0000 2017,Puerto Rico,THE POWER JUST WENT OFF. PLEASE DONT LET THIS BE ANOTHER MASSIVE BLACKOUT,negative
Fri Mar 03 23:34:54 +0000 2017,Puerto Rico$$,@ValenLasagno https://t.co/voVYdvvcdY,negative
Fri Mar 03 23:38:15 +0000 2017,Puerto Rico,"Darrelle Revis falls just outside the top-five in our #NFL1000 free agent CB rankings
https://t.co/2O9HW6c7SM https://t.co/HexbBKTdfP",negative
Sat Mar 04 00:03:58 +0000 2017,"Carolina, Puerto Rico",Tienen que cojer a Kevin Mchale https://t.co/mkpNSnnjfA,negative
Sat Mar 04 00:42:15 +0000 2017,Puerto Rico,Ouch https://t.co/WylyJWsZab,negative
Sat Mar 04 01:06:45 +0000 2017,"Puerto Rico, USA",RT @The_Last_NewsPa: Climate Change Order Trump Just Gave EPA Has Libs FREAKING OUT https://t.co/S1I3xJa7FK https://t.co/RlKQSRNBmD,negative
Sat Mar 04 01:23:11 +0000 2017,"Caguas, Puerto Rico",Nunca tengo bateria nuncaa,negative
Sat Mar 04 01:57:13 +0000 2017,"Toa Alta, Puerto Rico",Lonzo Ball dad still worse https://t.co/PIFaPtcQFa,negative
Sat Mar 04 15:18:49 +0000 2017,"Carolina, Puerto Rico","RT @TheFunnyFml: *Gasolina starts playing* 
Friend: don't do it
Me: https://t.co/38DhbxS2CY",negative
Sat Mar 04 15:26:24 +0000 2017,"San Juan, Puerto Rico",RT @BBCWorld: Rival east Libya factions battle for crucial oil ports https://t.co/ek1gmWpsdK,negative
Sat Mar 04 15:54:24 +0000 2017,puerto rico jk texas ya digg ,RT @EmperorxKen: 3) SHE NEEDS SOME OIL SHEEN https://t.co/3QdxLdeKaU,negative
Sat Mar 04 15:54:59 +0000 2017,Puerto Rico ,"RT @TheFunnyFml: *Gasolina starts playing* 
Friend: don't do it
Me: https://t.co/38DhbxS2CY",negative
Sat Mar 04 16:03:56 +0000 2017,"NYC, Puerto Rico",RT @LifeWoutPlastic: A Plastic Tide - Free documentary on plastic pollution! https://t.co/JhkieDuUGD,negative
Sat Mar 04 16:04:03 +0000 2017,Puerto Rico,"Brandon Marshall and Patriots have mutual interest, per BenVolin https://t.co/EJnChVmcsp https://t.co/VdeU02REkh",negative
Sat Mar 04 16:59:17 +0000 2017,"Sabana Grande, Puerto Rico","RT @TheFunnyFml: *Gasolina starts playing* 
Friend: don't do it
Me: https://t.co/38DhbxS2CY",negative
Sat Mar 04 16:59:36 +0000 2017, Puerto Rico,"RT @appearance: *Gasolina starts playing* 
Friend: don't do it
Me: https://t.co/kXLlmd537h",negative
Sat Mar 04 17:03:50 +0000 2017,Puerto Rico,The secret to Kentucky guard De'Aaron Fox's success? Six hours of NBA2K per day https://t.co/3KyC7jHZNh https://t.co/Fs1OtzWtoY,negative
Sat Mar 04 17:29:37 +0000 2017,san juan puerto rico,@POTUS44 gasoline burned style stomach of racist all PR torturing me poisoned roommates friends too voices devices neigh,negative
Sat Mar 04 17:39:47 +0000 2017,Puerto Rico,"RT @DAVILACOLON: La colonia es tan desastrosa, que quiebra hasta sus propios monopolios: AEE, AAA, AC, AMA, ATM, etc",negative
Sat Mar 04 18:04:42 +0000 2017,"Puerto Rico, USA",RT @Paolo_Bargiggia: Non lo sanno manco loro... https://t.co/s1VugX5mYm,negative
Sat Mar 04 18:42:57 +0000 2017,"Puerto Rico, USA","RT @DAVILACOLON: La colonia es tan desastrosa, que quiebra hasta sus propios monopolios: AEE, AAA, AC, AMA, ATM, etc",negative
Sat Mar 04 18:46:49 +0000 2017,Puerto Rico,"La coge Hollywood, Vin Diesel se queda sin empleo.  https://t.co/EGVbSBOcGn",negative
Sat Mar 04 18:47:40 +0000 2017,"Puerto Rico, USA","{revolution}
Climate change is real... Talk to your local officials about Wildfire preperation today. 
https://t.co/TWEbeMgFQE",negative
Sat Mar 04 18:48:37 +0000 2017,"Puerto Rico, USA","RT @DAVILACOLON: La colonia es tan desastrosa, que quiebra hasta sus propios monopolios: AEE, AAA, AC, AMA, ATM, etc",negative
Sat Mar 04 19:15:34 +0000 2017,"San Juan, Puerto Rico","RT @TakingFiveHQ: *Gasolina starts playing* 

Friend: don't do it

Me:
https://t.co/oYpGrEAJnb",negative
Sat Mar 04 19:23:11 +0000 2017,"Puerto Rico, USA",Finally home from work. Now to check Twitter then watch Dragon Ball Super. Maybe I'll buy the Steam version of Nights of Azure.,negative
Sat Mar 04 19:52:24 +0000 2017,Puerto Rico,RT @ajplus: Climate change is making a huge impact on the world's former highest ski resort. https://t.co/qXYznBjCyF,negative
Sun Mar 05 14:44:51 +0000 2017,Puerto Rico,"RT @TheFunnyVine: *Gasolina starts playing* 
Friend: don't do it
Me: https://t.co/jBLaNCi8Pk",negative
Sun Mar 05 16:04:53 +0000 2017,"Caguas, Puerto Rico ",Mi cheque se va en gasolina y peaje,negative
Sun Mar 05 16:05:26 +0000 2017,Colombia/Puerto Rico,Ayyy Luly!!! https://t.co/QG37ZsMTMU,negative
Sun Mar 05 16:07:46 +0000 2017,Puerto Rico,"Hemp, Inc. Purchases CO2 Supercritical Extraction Unit for CBD Oil Production - Marketwired (press release) https://t.co/f8rksbZ9Jn",negative
Sun Mar 05 16:11:20 +0000 2017,"Puerto Rico, USA","RT @awkwardposts: perks of being ugly: 

phone battery lasts longer",negative
Sun Mar 05 17:05:14 +0000 2017,"Puerto Rico, USA",Take a look at this map to find out what New York City illuminated by #solar #energy looks like. https://t.co/v54i6S8iQt,negative
Sun Mar 05 17:06:03 +0000 2017,"Puerto Rico, USA",#NowPlaying Gasolina by Daddy Yankee #ChippahRadio #Listen https://t.co/2o8A5Gwlph https://t.co/L8YakzLjvC,negative
Sun Mar 05 17:09:15 +0000 2017,Puerto Rico,RT @MSGCapital: They can't keep track of a 250-ton jumbo jet but they know where crude is going? https://t.co/5PuLpxLD1k,negative
Sun Mar 05 17:09:23 +0000 2017,Puerto Rico,Deshaun Watson's stock jumped while DeShone Kizer stumbled at Saturday's #NFLCombine https://t.co/yIPrYWthv7 https://t.co/dX0EjSHYKY,negative
Sun Mar 05 17:41:51 +0000 2017,"Puerto Rico, USA",RT @techedvocate: Why Is It So Hard for #EdTech Startups to Sell to Schools? https://t.co/6NpIovV3a7 #steam https://t.co/whtcOGKEr7,negative
Sun Mar 05 17:52:27 +0000 2017,"NYC, Puerto Rico",#climatechange https://t.co/kaNj8lvf3w,negative
Sun Mar 05 20:16:16 +0000 2017,Puerto Rico ,RT @aliendel97: JAJAJA ayyy https://t.co/mwIZPvKzOU,negative
Sun Mar 05 20:53:50 +0000 2017,PUERTO RICO ,RT @ursarings: Global warming is real and killing is all https://t.co/0Rit5mYyZE,negative
Sun Mar 05 20:54:24 +0000 2017,PUERTO RICO ,RT @ursarings: Jajajajaj killing us all* even tho.... killing is truly all? Wow poetico https://t.co/trX9jBiNos,negative
Sun Mar 05 21:51:57 +0000 2017,"Gurabo, Puerto Rico",RT @GabrielMangual: Mi bellaca de alto voltaje nunca ha salido a la luz.,negative
Sun Mar 05 22:27:59 +0000 2017,Puerto Rico,"RT @EleanorJCalder: Rule #09 #forsuccessfulliving - Be Brave! @diesel @ London, United Kingdom https://t.co/hswSa4sBsq",negative
Sun Mar 05 22:29:18 +0000 2017,S.F. Bay/Puerto Rico,RT @marymad: Ummmm https://t.co/7C7k0AI2V7,negative
Mon Mar 06 14:33:17 +0000 2017,"U.S., Canada, and Puerto Rico",Happy Birthday to the Big Diesel @SHAQ! https://t.co/ANr4ztsOpQ,negative
Mon Mar 06 14:34:34 +0000 2017,Puerto Rico,"Julius Peppers will return for a 16th season, per RobDemovsky and vxmcclure23 https://t.co/ZUhuOieHWs https://t.co/y6fBePAiZP",negative
Mon Mar 06 14:44:11 +0000 2017,Puerto Rico,"Battery tech suitable for future iPhone promises 3x the power density, full charge in minutes https://t.co/amwiDiCKae",negative
Mon Mar 06 14:44:12 +0000 2017,Puerto Rico,"Battery tech suitable for future iPhone promises 3x the power density, full charge in minutes https://t.co/KOFClvyIPo",negative
Mon Mar 06 15:09:43 +0000 2017,Puerto Rico ,"RT @Capturingart: Marti Gretfreund, oil on canvas https://t.co/mw9WtgIsx7",negative
Mon Mar 06 15:13:27 +0000 2017,Puerto Rico,RT @YanieYampier: Jajajajajajajajajajaja https://t.co/dwGNHTi7pI,negative
Mon Mar 06 16:17:49 +0000 2017,"Guatemala, Puerto Rico","RT @CBCAlerts: Emergency crews responding to diesel spill at fish farm off northern Vancouver Island, B.C. https://t.co/7I8h7PrJpT",negative
Mon Mar 06 17:11:24 +0000 2017,Puerto Rico,RT @greenpeaceusa: Yes! Reduced coal burning results in decline of mercury in tuna contamination! https://t.co/5i9nRAfunk,negative
Mon Mar 06 17:14:03 +0000 2017,Puerto Rico,#isreal https://t.co/S2Jr3YD52N,negative
Mon Mar 06 17:16:54 +0000 2017,"Puerto Rico, USA",RT @BleacherReport: All eyes are on bubble teams now that championship week is here https://t.co/qdnrzesi2K https://t.co/f1i6MYBfuX,negative
Mon Mar 06 17:19:40 +0000 2017,Puerto Rico,All eyes are on bubble teams now that championship week is here https://t.co/mqVSxiVXm6 https://t.co/OnvKJKiLjB,negative
Mon Mar 06 17:49:11 +0000 2017,Puerto Rico,Kansas enters championship week atop the AP Poll https://t.co/0FChLE2xUj https://t.co/vbDX8DivVn,negative
Mon Mar 06 17:52:21 +0000 2017,"Isabela, Puerto Rico",RT @marvelvscapcom: Only one more day before Ultimate Marvel vs. Capcom 3 drops on Xbox One and Steam! https://t.co/85X223z0zl,negative
Mon Mar 06 18:17:11 +0000 2017,Puerto Rico ,RT @BleacherReport: Kansas enters championship week atop the AP Poll https://t.co/gp4vg8OphZ https://t.co/XNzJa6OVNE,negative
Mon Mar 06 18:17:33 +0000 2017,Puerto Rico & England,RT @PegFitzpatrick: How #ContentMarketing Can Fuel your Entrepreneurial Success - https://t.co/xlJ5I0jLiV https://t.co/PSnwlwE9Di,negative
Mon Mar 06 18:56:02 +0000 2017,"san juan, puerto rico","por estar en sc mandando nudes, bellaca https://t.co/b7dOcPPoQ1",negative
Mon Mar 06 18:58:30 +0000 2017,Puerto Rico,RT @alxndrrra: Lmaoo https://t.co/I9I82pKVmb,negative
Mon Mar 06 19:24:09 +0000 2017,Puerto Rico,"From unranked to UFC champ in a year: Meet ""natural badass"" Cody Garbrandt #BRmag https://t.co/hwNUq63pdk https://t.co/ryvcl1dX3V",negative
Tue Mar 07 17:41:24 +0000 2017,"Caguas, Puerto Rico",@Carlitoalexis1 https://t.co/E0hTRQvHiC,negative
Tue Mar 07 17:45:30 +0000 2017,Sur de Puerto Rico,Ya mismo piden investigarlo. Jajaja. https://t.co/UCIMy4PLeM,negative
Tue Mar 07 17:45:37 +0000 2017,Puerto Rico,"New Solid-State Battery Tech Claims To Be Incombustible, Recharges Quickly, Holds 3x Charge https://t.co/mwr5HWeKv2",negative
Tue Mar 07 18:11:45 +0000 2017,Coamo Puerto Rico ,Cuando le digo a mami que el sobrante de la beca es pa gasolina y libros https://t.co/zQCmC3MOSp,negative
Tue Mar 07 18:46:12 +0000 2017,"Ponce, Puerto Rico",RT @CJavier0311: Dime que gasolina es esa que le echaste... https://t.co/hoUQKoTQHd,negative
Wed Mar 08 02:19:08 +0000 2017,"Puerto Rico, USA","@realDonaldTrump @exxonmobil Turning petrol to user goods is better than burning it as fuel, start changing toward that goal NOW! ZPE energy",negative
Wed Mar 08 02:23:51 +0000 2017,"Puerto Rico, USA",Te ayuda a pagar del Diesel lo juro,negative
Wed Mar 08 02:25:02 +0000 2017,Puerto Rico,*Listens to Gasolina once* https://t.co/iJgzyu0SUn,negative
Wed Mar 08 12:08:07 +0000 2017,Puerto Rico,Mosul residents outraged by IS 'hole fee' - Iraq Oil Report https://t.co/6B092HMLHs more@ https://t.co/m4re7yoNx2,negative
Wed Mar 08 13:58:17 +0000 2017,Puerto Rico,RT @HamboPR: For Honor pierde el 50% de sus jugadores en Steam https://t.co/ktrZNCTgwc https://t.co/JYWFi8vLsG,negative
Wed Mar 08 14:24:55 +0000 2017,"Puerto Rico, USA",Organizada con permisos (city permit). #NoEsLoMismo https://t.co/lR4ZMBtuCe @JessicaLabrador @jelguera https://t.co/hMK9f0jvtb,negative
Wed Mar 08 14:25:31 +0000 2017,"San Juan,Puerto Rico","RT @physorg_com: Rising CO2 due to climate change may not improve agriculture, model shows https://t.co/wGSozD2PG8 @LifeAtPurdue",negative
Wed Mar 08 14:55:44 +0000 2017,Puerto Rico,"esto es trampa... que bueno que es el ""gran"" Eli el QB https://t.co/OkGU5NoBfr",negative
Wed Mar 08 15:05:40 +0000 2017,"San Juan, Puerto Rico",AAA: Not All Gasoline Created Equal https://t.co/UHpR6RDn4V,negative
Wed Mar 08 20:07:46 +0000 2017,"Guaynabo, Puerto Rico",Check out Valve Steam Wireless Controller Gamepad for Windows Mac Linux Game Pad PC Play https://t.co/4ekOBzN6DN @eBay,negative
Wed Mar 08 20:08:39 +0000 2017,"Guaynabo, Puerto Rico",Check out Nike KD VI GS Black Volt Vivid Blue Dark Grey 599477-006 (Youth Sz6) https://t.co/uulNRXUeCs @eBay,negative
Wed Mar 08 20:51:32 +0000 2017,Puerto Rico,Tesla built a huge solar energy plant on the island of Kauai https://t.co/B4Qb4B3yHq https://t.co/QQxPMKqwF6,negative
Wed Mar 08 21:27:13 +0000 2017,Puerto Rico,"same, yo le pago hasta la gasolina https://t.co/qMrxlqvVFS",negative
Wed Mar 08 21:38:13 +0000 2017,Puerto Rico,How things have changed for Luke Kennard #BRmag https://t.co/ivXTEQk4O3 https://t.co/O2145FdrM9,negative
