created_at,text,polarity
Sat Feb 25 14:12:34 +0000 2017,That would be great but Trump supporters work https://t.co/TvMaXDx6X4,positive
Sat Feb 25 14:12:34 +0000 2017,Engine running video of the 1967 camaro soon to be available here at atlas muscle cars it is a jegs GM crate... https://t.co/PXykeIbxgk,positive
Sat Feb 25 14:12:35 +0000 2017,A new favorite: Electric Crown by @Andrewstaroffic https://t.co/d11frP2Nfj on #SoundCloud,positive
Sat Feb 25 14:12:35 +0000 2017,got a remote starter installed in my car a month ago and its already stopped work URGGGGG,positive
Sat Feb 25 14:12:35 +0000 2017,What you are doing is Bringing Light and Information onto Earth,positive
Sat Feb 25 14:12:35 +0000 2017,"Brazilian Orange Essential Oil from Majestic Pure; 100% Pure and Natural Orange Oil, 4 fl oz https://t.co/vRoDip7G43 #shopping #sale",positive
Sat Feb 25 14:12:36 +0000 2017,Jimmy Kimmel and Hugh Jackman Have Both Tried 'Fasting Diets': Do They Work? ##HughJackman #HughJackman https://t.co/cdzSet4lPK,positive
Sat Feb 25 14:12:36 +0000 2017,RT @strawbkisses: Your power is your choice #jpbirm17,positive
Sat Feb 25 14:12:36 +0000 2017,RT @yasminrk_: Wow. South Asians are actually being rejected in the film industry so a white woman can play dress up https://t.co/bUKG9tQEaj,positive
Sat Feb 25 14:12:35 +0000 2017,"Private prison deprived inmates of heat and hot water for months, lawmaker finds https://t.co/ON1AazwSUN",positive
Sat Feb 25 14:12:36 +0000 2017,Going to work with my blanket wrapped around me. Happy Saturday,positive
Sat Feb 25 14:12:36 +0000 2017,Quality matchup here. #2017CubsDraft https://t.co/GccvmXp1JR,positive
Sat Feb 25 14:12:36 +0000 2017,Abstract Painting for Sale: &amp;#039;Winter Coming On&amp;#039; Abstract Oil Painting (Framed) https://t.co/F80K7XUQ9l via @eBay_UK,positive
Sat Feb 25 14:12:36 +0000 2017,RT @SamRadja_Art: Check out this great work of art by Sam Radja @saatchiart https://t.co/dQ73qFABlh #saatchiartilove https://t.co/oA3d88AX9U,positive
Sat Feb 25 14:12:37 +0000 2017,"RT @JoseTrujilloArt: I love catching the beauty of early light in a painting!
https://t.co/mRrcjemsei https://t.co/cHjXXQ9tjF",positive
Sat Feb 25 14:12:36 +0000 2017,Laptop battery exploded and set fire to workbench at work. https://t.co/746yEWJHz7,positive
Sat Feb 25 14:12:37 +0000 2017,I see a light at the tunnel and it is not a train...I'm 95% sure it's not a train.,positive
Sat Feb 25 14:12:37 +0000 2017,Now playing on OSN Radio (@osnradio) Power (Anthem 7'' Edit) by Nu Colours #OSN #NowPlaying (https://t.co/r9dn0bftC7),positive
Sat Feb 25 14:12:36 +0000 2017,Utah State Legislature: Gas chambers have no place in our animal shelters - Sign the Petition! https://t.co/yqSJdKT3zR via @Change,positive
Sat Feb 25 14:12:37 +0000 2017,THE SECRET PLUS - THE ULTIMATE LAW OF ATTRACTION; Multiply the power of the Law of Attraction by a.. https://t.co/3cYworYtbp,positive
Sat Feb 25 14:12:37 +0000 2017,Street Artist Targets Oscars With Posters Mocking Hollywood And Film Industry https://t.co/xcx3Ck4cvZ via @amlookout,positive
Sat Feb 25 14:12:37 +0000 2017,"@Mi__Kid but I got into the song this time and liked it 

Did 32 33 34 and 38 push ups during work out
Was still on just do 25 thinking",positive
Sat Feb 25 14:12:38 +0000 2017,RT @nayluizza: Muito linda https://t.co/KyNeqwmkAJ,positive
Sat Feb 25 14:12:38 +0000 2017,"Amazon Deforestation, Once Tamed, Comes Roaring Back.  https://t.co/gqILrjYF7M. By @HirokoTabuchi and me.",positive
Sat Feb 25 14:12:38 +0000 2017,"@BujangJalang_ kereta tu bagi signal, pastu motor tu laju pffttt",positive
Sat Feb 25 14:12:38 +0000 2017,@blurryfesse next tour we go together. All the frenchies. Fuckin baguette power,positive
Sat Feb 25 14:12:38 +0000 2017,Kiss me under the light of a thousand stars,positive
Sat Feb 25 14:12:38 +0000 2017,Morning prayer and run! #saturdaymorning #hustle #work,positive
Sat Feb 25 14:12:38 +0000 2017,RT @CoachKGrabowski: Distort the defense with power read #thecoachesedge https://t.co/EQI9ekzwiS https://t.co/MTPAmgnT4L,positive
Sat Feb 25 14:12:38 +0000 2017,Pool with soothing background music and a chilled coke would be so apt right now,positive
Sat Feb 25 14:12:38 +0000 2017,RT @CatchAllOfEm: How sunblock works. This is a visible-light/UV-light comparison https://t.co/6X9J6As5D3,positive
Sat Feb 25 14:12:38 +0000 2017,@JZarif @kellyalove45 @alexahenning45 @jaredkushner @SaraMurray @Olivianuzzi @HallieJackson @AdelAljubeir All working within NW DC,positive
Sat Feb 25 14:12:38 +0000 2017,This is an amazing site. Glad you got to see #monarchs in person https://t.co/oghLWCujA3,positive
Sat Feb 25 14:12:39 +0000 2017,GUCCI/BOMBER JACKET/ Black Hoody Red Green Gucci by Lucky13Vintage https://t.co/NaoJiNBrIt via @Etsy''''',positive
Sat Feb 25 14:12:39 +0000 2017,"RT @lattaruloanton1: Yep, they sure are and I'm glad I blocked CNN. https://t.co/PUi2CcQ7qo",positive
Sat Feb 25 14:12:39 +0000 2017,@eleanorkos My lovely friend @missmalaper and I are here at the Red Con and we would love to tell you in person how much we love your work.,positive
Sat Feb 25 14:12:40 +0000 2017,@Nvr4Get91101 I think that if they're going to work for the TSA they should at least be able to spell it!,positive
Sat Feb 25 14:12:39 +0000 2017,BBC News - Minister to enshrine protection for research independence https://t.co/bgH4PBCDJA,positive
Sat Feb 25 14:12:40 +0000 2017,RT @ezlusztig: He doesn't just look happy - he looks RADIANT. https://t.co/Ls2Duo5LsZ,positive
Sat Feb 25 14:12:41 +0000 2017,@TomBoxingAsylum @jimjamieson @b_smeeth @boxingnewstv Canelo and Manny both picked Khan because it's the most money/least work. Simple.,positive
Sat Feb 25 14:12:41 +0000 2017,Stuff like this makes me happy i live in this generation,positive
Sat Feb 25 14:12:41 +0000 2017,@BrokerTeresa @djsteveporter @realDonaldTrump Trump is taking credit for Obama's work https://t.co/7CHqOLjcao,positive
Sat Feb 25 14:12:41 +0000 2017,Trump's Nuclear Plan: It's Like The Cold War All Over Again https://t.co/8kWvxQjWYy via @YouTube,positive
Sat Feb 25 14:12:41 +0000 2017,Current context to #Social + #Hollywood + #Justice + #Foundation + #Aid you'll find here https://t.co/aJol5nVmkV,positive
Sat Feb 25 14:12:41 +0000 2017,will I actually do work today? nope,positive
Sat Feb 25 14:12:41 +0000 2017,"""aeadership is the capacity to translate vision into reality."" - darren Bennis",positive
Sat Feb 25 14:12:41 +0000 2017,"The tongue has the power of life and death, and those who love it will eat its fruit.
Proverbs 18:21",positive
Sat Feb 25 14:12:41 +0000 2017,The ancient sea work https://t.co/7Y9846nYxC,positive
Sat Feb 25 14:12:41 +0000 2017,RT @AtomSiraullo: are they lighting candles bc the promises are dead?? what is this self-shade https://t.co/UqPHsHARsE,positive
Sat Feb 25 14:12:42 +0000 2017,Who green lit this https://t.co/2FgI3h39zx,positive
Sat Feb 25 14:12:42 +0000 2017,RT @tavarezcorbett1: Great game today. Thanks to my boy @JatoviJ for the tickets. Cameron Indoor is truly electric! https://t.co/FjKByu6gJ1,positive
Sat Feb 25 14:12:42 +0000 2017,I liked a @YouTube video from @latenci_ https://t.co/s6EQx5RArW How I PvP #5 | SCREENSHARED FOR VAPE + Light Ice Pack Showcase,positive
Sat Feb 25 14:12:43 +0000 2017,@phranzz @CocoDeBrux c'est en faisant des essais qui peuvent rater que la science avance https://t.co/IAXlTsAsIu,positive
Sat Feb 25 14:12:43 +0000 2017,RT @SavageJoeBiden: Me in 20 years because the Trump administration is ignoring global warming https://t.co/e0hdxnsDnP,positive
Sat Feb 25 14:12:43 +0000 2017,"Wallace free-kick, Green gets fists on it and Leeds win a free-kick. 1-0 on 86 mins. #lufc",positive
Sat Feb 25 14:12:43 +0000 2017,"RT @1DILY5H: Harmos working from home

WORK TOGETHER HARMOS

#BestCover
#ExsAndOhs
#iHeartAwards",positive
Sat Feb 25 14:12:43 +0000 2017,RT @heyitshav: I am in desperate need of SUNSHINE,positive
Sat Feb 25 14:12:43 +0000 2017,"@dibaemir since many of you guys asked,
Lipstick: DIDA Flirt
Blush: Tarte Amazonian Clay - Frisky
Bronzer: Catrice Sun Glow Matte",positive
Sat Feb 25 14:12:44 +0000 2017,Who love the sun! Who cares that its shining!  https://t.co/6X1iex5Sb1,positive
Sat Feb 25 14:12:44 +0000 2017,RT @nytimes: What one photo tells us about North Korea's nuclear program https://t.co/ZR31m3VUli https://t.co/6scXhZJvzn,positive
Sat Feb 25 14:12:44 +0000 2017,RT @UncleSego: Energy is everything to me,positive
Sat Feb 25 14:12:44 +0000 2017,"RT @LOA9879: Keep busy. Work spares us from three evils: boredom, vice, and need (Voltaire).",positive
Sat Feb 25 14:12:44 +0000 2017,FYI - This opens the door for a radical wing to win a plurality.  Just a theory. https://t.co/Zk6gNjZYDr,positive
Sat Feb 25 14:12:45 +0000 2017,RT @Schuldensuehner: Why Saudi's are pinning their future on giant #oil IPO? https://t.co/a5fRtYsJ9w https://t.co/mUaqTLvKK0,positive
Sat Feb 25 14:12:45 +0000 2017,RT @ezlusztig: He doesn't just look happy - he looks RADIANT. https://t.co/Ls2Duo5LsZ,positive
Sat Feb 25 14:12:45 +0000 2017,i fall in love with peoples passion the way their eyes light up when they talk about the thing they love and the way they fill with light,positive
Sat Feb 25 14:12:45 +0000 2017,Geral seguindo o @ZaiperGraphics pra ele liberar a super light dele pfvr Glr,positive
Sat Feb 25 14:12:46 +0000 2017,"@VortexOptics  since it is taking up space in your critical work area, I'd be happy to help remove some of it for the sake of productivity!",positive
Sat Feb 25 14:12:46 +0000 2017,@CityPowerJhb what is the situation with the power outage in Sundowner Randburg?,positive
Sat Feb 25 14:12:46 +0000 2017,RT @simonhedlin: .@realDonaldTrump Thanks a lot for all your great work! https://t.co/pAose8gFiH,positive
Sat Feb 25 14:12:46 +0000 2017,RT @FlynnFoster: @talk1073 @ClarenceBuggs @KevinTalk1073 @BillProfita great work guys. Media Award from Crime Stoppers.,positive
Sat Feb 25 14:12:46 +0000 2017,Noses are green yellow azaleas are orchid sugar is sweet and so on,positive
Sat Feb 25 14:12:46 +0000 2017,The greatest gift and curse G.O.D. Bestowed upon us is the power to not remember and forget. #Pleasure #pain #good #bad,positive
Sat Feb 25 14:12:47 +0000 2017,@pxwhittle my cat has semi-long hair and in this typically dry environment static can be a pain (literally...I shock him when I pet him).,positive
Sat Feb 25 14:12:47 +0000 2017,RT @MENnewsdesk: 'Lancashire Lazarus' steam train to haul passengers for the first time in 50 years https://t.co/qLoxeBd96r,positive
Sat Feb 25 14:12:47 +0000 2017,I'd rather say we have 45 to extend it! #PositiveVibes @GuernseyFC https://t.co/BgBIcNPhZ8,positive
Sat Feb 25 14:12:48 +0000 2017,Story of my life! 'Silent Thursdays' sounds like a winner https://t.co/8g3jenjTTH,positive
Sat Feb 25 14:12:48 +0000 2017,RT @asdsdafgsadffge: @kanyewest In the song champion are the vocals at the beginning aron with a hard or light r or is it in their eyes,positive
Sat Feb 25 14:12:48 +0000 2017,Rescued elephant Sanjay living happily at Elephant Conservation Centre https://t.co/7ltGdFJnOY,positive
Sat Feb 25 14:12:48 +0000 2017,RT @wealdstonefc: @Pressoffwfc @Wealdstone_FC today's team news https://t.co/EF9QtrDit5,positive
Sat Feb 25 14:12:48 +0000 2017,RT @barkway: Those of us who enjoyed a time when no school cops were necessary were very lucky. Completely diff school environment. @cspanwj,positive
Sat Feb 25 14:12:48 +0000 2017,RT @JrLendo: My Cuning sun king his thom https://t.co/Sgqhq9aDGz,positive
Sat Feb 25 14:12:49 +0000 2017,"RT @loa_thesecret: Don't be so hard on yourself. 
You are filled with beauty, you exude light, and you're made of love.",positive
Sat Feb 25 14:12:49 +0000 2017,"green day blood, sex and booze lyrics https://t.co/hmUHEd3yEN",positive
Sat Feb 25 14:12:49 +0000 2017,RT @lootcrate: What If Tim Burton Drew Marvel &amp; DC Superheroes? https://t.co/TVwVNDhwJP via @ComicBook https://t.co/Ke0LXkT6WR,positive
Sat Feb 25 14:12:49 +0000 2017,@urbandoll I will win this ring light (well I hope),positive
Sat Feb 25 14:12:49 +0000 2017,RT @ksushma140: LEGENDRY!! HKNKJ making every generation DELIGHTED!! and SUPER  EXCITED!! fans JUBILATING!! by watching HKNKJ #201CrIn15Days,positive
Sat Feb 25 14:12:49 +0000 2017,@GeorgeLDuncan it is settled..Climate change exists and it is man made..,positive
Sat Feb 25 14:12:49 +0000 2017,RT @DineshDSouza: CLIMATE SCIENCE ACCORDING TO THE LEFT: We know global warming is real if it gets hotter--or colder https://t.co/r8sgsiBTxz,positive
Sat Feb 25 14:12:49 +0000 2017,I liked a @YouTube video https://t.co/JyDU4RD7Sr Pokemon Sun and Moon: Trainer Sun Vs Kalos Ash XYZ (Ash Vs Elio),positive
Sat Feb 25 14:12:49 +0000 2017,More Than Millennials: How to Prepare for Generation Z #ppc #marketing #adwords https://t.co/p6kGtYaxDd via @semrush,positive
Sat Feb 25 14:12:50 +0000 2017,"Wobbly video of work in progress! 
.
.
.
#pinup #pinuphair #pinupgirl #pinupstyle #graphicdesigncentral... https://t.co/FjsTLFdawS",positive
Sat Feb 25 14:12:50 +0000 2017,Yellow light with 8 to go @kmr29 is running second. Single file restart. Track is actually on the wall,positive
Sat Feb 25 14:12:50 +0000 2017,RT @smolmarky: Now Let Me See Your Hip Swing! Ac: mine (#markiplieredit #markiplier #youtuberedit) https://t.co/9EUqrKV35w,positive
Sat Feb 25 14:12:50 +0000 2017,"Larvitar 60.0% Bite, Ancient Power Available until 08:42:32 (29m 40s). https://t.co/yrm5OplcP1",positive
Sat Feb 25 14:12:50 +0000 2017,"#tmtl sorry rl, need member posisi JUNGKOOK buat lengkapin dc BTS gua, kalo bisa COWO dom JKT, minat dm gua @UGOTNOJIMS",positive
Sat Feb 25 14:12:50 +0000 2017,"RT @timedoesntcare: power to the local dreamer
@tylerrjoseph @twentyonepilots #cliqueart https://t.co/EOFs5u3Xlj",positive
Sat Feb 25 14:12:51 +0000 2017,RT @UncleSego: Energy is everything to me,positive
Sat Feb 25 14:12:51 +0000 2017,"@realDonaldTrump seriously, you're taking credit for Obama's work, while at the same time completely destroying those past 8 years. SAD!",positive
Sat Feb 25 14:12:51 +0000 2017,RT @SkyBetChamp: Missed by Jordan Rhodes! Rob Green tips onto the post and @LUFC clear! https://t.co/oZP31N5t7j,positive
Sat Feb 25 14:12:52 +0000 2017,RT @ArdyanHerdi: Belajar naik motor rx King https://t.co/VdXViJqjHd,positive
Sat Feb 25 14:12:52 +0000 2017,I've just watched episode S02E01 of Power! #power  https://t.co/JhRZzbUaRN https://t.co/8kj8w7fLn5,positive
Sat Feb 25 14:12:52 +0000 2017,I added a video to a @YouTube playlist https://t.co/WRxxR4S96X Psychic Vampires (How to Recognize and Protect Yourself From an Energy,positive
Sat Feb 25 14:12:52 +0000 2017,"RT @the_manutd_gifs: Also on this day in 2003, Giggs turned up the heat as we beat Juventus 3-0 in Turin.
https://t.co/h3SC5rd2wI",positive
Sat Feb 25 14:12:52 +0000 2017,"Watch ""Inner Earth via Sirius Sun C Dark Matter Womb"" via @da13thsun - https://t.co/qcZdhQ05u7",positive
Sat Feb 25 14:12:52 +0000 2017,RT @chlsbtzn: power twt na guyssss #HappyBirthdayBrentParaiso https://t.co/luNHJWmZQG,positive
Sat Feb 25 14:12:52 +0000 2017,RT @martinfreemvn: light of my life https://t.co/umsSEn54qu,positive
Sat Feb 25 14:12:52 +0000 2017,"Seeing your child go through a seizure due to high temperature is upsetting, but did you know this is very common... https://t.co/MD9yazGY2J",positive
Sat Feb 25 14:12:52 +0000 2017,"RT @PhilHayYEP: Wallace free-kick, Green gets fists on it and Leeds win a free-kick. 1-0 on 86 mins. #lufc",positive
Sat Feb 25 14:12:52 +0000 2017,"RT @d_duhwit: ""Unlock the car Sharon, I love you. We can make this work."" https://t.co/Q5Vygjdxee",positive
Sat Feb 25 14:12:53 +0000 2017,Listen to the whistling wind of silence from the White House on this... https://t.co/0fjZa6nvLQ,positive
Sat Feb 25 14:12:53 +0000 2017,#Electric #Vehicles set to wreck havoc on Crude #oil #stockmarket https://t.co/KOV6pDwdaj,positive
Sat Feb 25 14:12:53 +0000 2017,@melissajustine_ the sarcasm was real in my tweet. But I don't envy y'all with that wind every day. NOPE.,positive
Sat Feb 25 14:12:53 +0000 2017,"Awards look good onpthe shelf, but clients seldomupick up the phone because of them. Solid work encourages that.",positive
Sat Feb 25 14:12:53 +0000 2017,"Apple iPad mini 1st Generation 32GB, Wi-Fi, 7.9in - Black Bundled With Cases https://t.co/TGhIvifiHH https://t.co/muLjHSTpLa",positive
Sat Feb 25 14:12:53 +0000 2017,RT @IdreeseOfficial: To all my #haters in the #music industry #MusicIndustry https://t.co/PlgFt1xrX8,positive
Sat Feb 25 14:12:54 +0000 2017,"It's such a shame, you let this good love go to waste.",positive
Sat Feb 25 14:12:54 +0000 2017,So... Warrior of Light... Just between you and me... is Garuda as cute as people say she is...?,positive
Sat Feb 25 14:12:54 +0000 2017,"group: bigbang 
first bias: gd 
current bias: gd 
wrecker: top
song: hands up
mv: last dance",positive
Sat Feb 25 14:12:54 +0000 2017,RT @gamecheapdeals: Win DOOM On Steam In Our Daily #GameCheapGiveaways! https://t.co/MgVHIrQlPH via @gamecheapdeals https://t.co/8eqYOVUOLs,positive
Sat Feb 25 14:12:54 +0000 2017,Truss me. Ppl need to stop sleeping on his work rate and his real raps https://t.co/VrD0zQw8UI,positive
Sat Feb 25 14:12:54 +0000 2017,RT @EducationalPics: Sunrise at the North Pole when the Sun and the Moon are at their closest point https://t.co/ayDqDQ20h6,positive
Sat Feb 25 14:12:54 +0000 2017,Kin of alleged EJK victim cry for justice at People Power day gathering https://t.co/QFd321dnOP https://t.co/DYKeDl0IS5,positive
Sat Feb 25 14:12:55 +0000 2017,"RT @plantbasedvibes: your energy is contagious, be positive",positive
Sat Feb 25 14:12:55 +0000 2017,"@Jazzii1234 ywp, and from being in that arena when she won, she creates a moment of silence and just awe with her vocal power and prescience",positive
Sat Feb 25 14:12:55 +0000 2017,@acdchnf every time in Stephens https://t.co/khp7RSamoD,positive
Sat Feb 25 14:12:56 +0000 2017,RT @counterfireorg: Class: Money and Power in Neoliberal Britain https://t.co/8RfkQa7I7i,positive
Sat Feb 25 14:12:56 +0000 2017,"RT @ramblingsloa: It is during our darkest moments.
That we must focus to see the light.

Buddha
Pic Santi foto https://t.co/u6GXsf9qiL",positive
Sat Feb 25 14:12:55 +0000 2017,"Sunisa Srisan makes quick work of Eh Yanuth, wins via RNC at 4:13 of R1. Srisan is a mega tough strawweight. https://t.co/rYPxtdUPB5",positive
Sat Feb 25 14:12:56 +0000 2017,RT @SamRadja_Art: Check out this great work of art by Sam Radja @saatchiart https://t.co/TX6L6hGeWw #saatchiartilove https://t.co/cIzFG0NgHt,positive
Sat Feb 25 14:12:56 +0000 2017,RT @deansintro: dean at power fm broadcast today - new poses everyday https://t.co/UePaxipqfG,positive
Sat Feb 25 14:12:56 +0000 2017,I liked a @YouTube video https://t.co/lBK0qR5CZM How to Remove (pull) a flywheel on a Briggs and Stratton Engine (any small engine),positive
Sat Feb 25 14:12:57 +0000 2017,RT @MLive: High wind warning issued for Mackinac Bridge https://t.co/Xc7Wav9G8g,positive
Sat Feb 25 14:12:57 +0000 2017,I'm entered to Win DOOM On Steam thanks to @gamecheapdeals https://t.co/v2muKIXAKM #gamecheapgiveaways,positive
Sat Feb 25 14:12:57 +0000 2017,"@Jcole180 .Chelsea.....ha,that explains a lot.
Scummy club,scummy fans and a scummy oil thief gangster owner who's just poisoned football.",positive
Sat Feb 25 14:12:58 +0000 2017,"Yes, it's as though it has become the norm. https://t.co/z2QwK3xjyr",positive
Sat Feb 25 14:12:58 +0000 2017,"RT @wonjeomeuro: Junho said for the next 10 years and next 10 years they'll be together, they will work harder as 2PM for everyone.",positive
Sat Feb 25 14:12:58 +0000 2017,"The retail #future more closely reflect who we are
https://t.co/5HONA5eOv3
#IoT #tracking #ML #CX #payments #connected #POS #personalized",positive
Sat Feb 25 14:12:58 +0000 2017,TALC HD - Adam Lambert - The Light (Live Debut) - Revention Music Center... https://t.co/dHfvrfIg5p via @YouTube,positive
Sat Feb 25 14:12:58 +0000 2017,RT @IrishMaramag: Current status of the heart: state of calamity,positive
Sat Feb 25 14:12:58 +0000 2017,@realDonaldTrump the oil alone stops seizures anxiety depression helps people with autism along with many other disorders &amp;better then pills,positive
Sat Feb 25 14:12:58 +0000 2017,RT @RadMilitaryPorn: Team work at its best https://t.co/dTf6vb70dZ,positive
Sat Feb 25 14:12:59 +0000 2017,The Power of Marketing - AMD's Ryzen Hype Train Hyperloops On https://t.co/qlsaEvoQrK via @TechPowerUp,positive
Sat Feb 25 14:12:59 +0000 2017,Rob green has has a good game so far #lufc,positive
Sat Feb 25 14:12:59 +0000 2017,I installed all the drivers and made my tablet work but I haven't used it since ckglcllf I'm f,positive
Sat Feb 25 14:12:59 +0000 2017,"Plant palm trees on Lake Michigan before it gets cold, I gotta feel the wind chill again before I get old.",positive
Sat Feb 25 14:12:59 +0000 2017,RT @ArtfuIist: painting with light https://t.co/lsyodiodcf,positive
Sat Feb 25 14:13:00 +0000 2017,"RT @Lacy_Lover: Scorpio though brings power. 
This is a water sign so still emotional but guarded. Highly intuitive.",positive
Sat Feb 25 14:13:00 +0000 2017,RT @AmazinVoices: Ariana is one of the best vocalists of this generation https://t.co/zA3KXfoyhS,positive
Sat Feb 25 14:13:00 +0000 2017,I liked a @YouTube video from @mrshawntrods https://t.co/rG0ioPRp3Z All 32 Fire Moves and 1 Fire Z Move in Pokemon Sun and Moon,positive
Sat Feb 25 14:13:01 +0000 2017,Vintage boots. Vintage SZ 8 B vintage oil brown by bootdownvintage https://t.co/B2XFh7vgLw via @Etsy,positive
Sat Feb 25 14:13:01 +0000 2017,RT @tylerbel: 4 Ways Color and Light Influence your Mind and Emotions https://t.co/g0VfIRUNKx via @lifehackorg,positive
Sat Feb 25 14:13:01 +0000 2017,@RangerStation I have work to do but Voyager sounds like so much more fun than working. Lol.,positive
Sat Feb 25 14:13:01 +0000 2017,Great article! Definitely worth a read and a share! Let's make our cities more sustainable! https://t.co/ISzHB8RJTg,positive
Sat Feb 25 14:13:02 +0000 2017,#NowPlaying on @dopesoufradio  @squabmuzik Dis Dat https://t.co/cB23J2zcZz 24/7 #hiphop #trap and #drill,positive
Sat Feb 25 14:13:02 +0000 2017,RT @CarolMagee18: @DineshDSouza @LindaSuhler @realDonaldTrump Christians pray and rebuke the power of Satan in Jesus name!,positive
Sat Feb 25 14:13:02 +0000 2017,"RT @PalmsResortPH: MY wish come true!! #RevokeCNN!

Prayers work!! https://t.co/70SJAsIICR",positive
Sat Feb 25 14:13:02 +0000 2017,"Not done in a public environment with young boys, girls and women spectators around. Bringing up hooligans???",positive
Sat Feb 25 14:13:02 +0000 2017,@YL_MrLavish2U it's raining and the wind blowing hard af,positive
Sat Feb 25 14:13:02 +0000 2017,"Loving the look of the City team today. Pace, power and goals. C'mon Bluebirds",positive
Sat Feb 25 14:13:02 +0000 2017,"Latest Monkey's favorite sounds: DC Promo Tracks #51: /AMBIANCE\ ""Runners In Wake"" by @dreamchimney https://t.co/1ZDiOWPjWY on #SoundCloud",positive
Sat Feb 25 14:13:03 +0000 2017,Comrade's power Babu owino at NASA @Babu_Owino #NASAInEldoret,positive
Sat Feb 25 14:13:03 +0000 2017,"RT @bora_debashree: Current situation in BHU is highly appalling. Do read to find out. #BHUshame
https://t.co/MqQKEAtpKj",positive
Sat Feb 25 14:13:03 +0000 2017,RT @theseoulstory: [#EXOrDIUMinManila] Chanyeol is so hyper wow I need your energy man haha https://t.co/zvWLfFeytq,positive
Sat Feb 25 14:13:03 +0000 2017,How To Work With The Love of Your Life (And Still Stay Married) https://t.co/t7bkL3Qnqr via @SarahArrow,positive
Sat Feb 25 14:13:03 +0000 2017,it's beautiful outside and guess who work 2 till close again great,positive
Sat Feb 25 14:13:04 +0000 2017,Niyakap ko sya ng very light non sa sobrang tuwa ko nung nakita ko sya hanep hahaha. Ang kireee,positive
Sat Feb 25 14:13:04 +0000 2017,"==&gt;  *Feel the heat*: Shots Fired by PRESLEY aka KRONIK.
 https://t.co/NsNDE4IdHF via @SoundClick",positive
Sat Feb 25 14:13:04 +0000 2017,RT @ricsl1600: All   human power is a compound of time and patience. - Honor de Balzac   #DestinedToBeYoursIn2Days #ALDUBDreamComeTrue,positive
Sat Feb 25 14:13:04 +0000 2017,It's lesson for the team to learn and work hard on the field https://t.co/rJpo0nM4cd,positive
Sat Feb 25 14:13:05 +0000 2017,RT @nayluizza: Muito linda https://t.co/KyNeqwmkAJ,positive
Sat Feb 25 14:13:05 +0000 2017,Excellent course! Highly recommend it!! @rcpsglasgow https://t.co/gqzhebIthv,positive
Sat Feb 25 14:13:05 +0000 2017,Chanyeol's solo electric guitar performance of Growl a while ago was so lit AF! &lt;3 #EXOrDIUMinManila,positive
Sat Feb 25 14:13:05 +0000 2017,RT @MENnewsdesk: Watch the resurrected 'Lancashire Lazarus' steaming through Greater Manchester earlier today https://t.co/DHaJai9OIU,positive
Sat Feb 25 14:13:06 +0000 2017,This clay candle/fragrance holder is the cutest thing.  Light a candle and snuggle up with your furbaby.... https://t.co/9RlNxyx6GV,positive
Sat Feb 25 14:13:06 +0000 2017,"@mysteriousfact Reasonable rationale for when you miss your mouth with the shot glass; keep up the good work, tRump has a slot for you...",positive
